alt,src,price,target,store,clothesType,clothesColor
"LEGGING CON CIERRE, H&O, NEGRO, 60% POLIAMIDA 37% POLIESTER 3% ELASTANO",https://images.deprati.com.ec/sys-master/images/hb3/hb7/11376148643870/16695955-0_product_300Wx450H,"$26,39",mujer,De Prati,legging,negro
"VESTIDO TIRAS TEXTURA, H&O, NEGRO, 65% POLIESTER 27% NYLON 8% ELASTANO",https://images.deprati.com.ec/sys-master/images/h18/haf/11373606436894/16722366-0_product_300Wx450H,"$15,00",mujer,De Prati,vestido,negro
"CAMISETA ML UNICOLOR, H&O, ROJO, 71% POLIESTER 26% ALGODÓN    3% ELASTANO",https://images.deprati.com.ec/sys-master/images/hfd/ha7/11368993849374/16695789-0_product_300Wx450H,"$10,00",mujer,De Prati,camiseta,rojo
"BLUSA MC CUELLO REDONDO, EXPRESSIONS, CRUDO COMBINADO, 95% POLIESTER 5% ELASTANO",https://images.deprati.com.ec/sys-master/images/hc4/h14/11383282663454/16712323-0_product_300Wx450H,"$15,00",mujer,De Prati,blusa,crudo
"CAMISETA MC ESTAMPADO, H&O TRYBU, BLANCO, 100% algodón",https://images.deprati.com.ec/sys-master/images/ha7/h20/11376277487646/16702897-0_product_300Wx450H,"$15,99",mujer,De Prati,camiseta,blanco
"SHORT C ROTOS, H&O TRYBU, AZUL CLARO, 100% algodón, Size 5",https://images.deprati.com.ec/sys-master/images/hef/hb0/11322856275998/16703041-0_product_300Wx450H,"$23,99",mujer,De Prati,short,azul claro
"PANTALON SKINNY LARGO CON UN BOTON, EXPRESSIONS, ROJO, 95% POLIESTER 5% ELASTANO",https://images.deprati.com.ec/sys-master/images/h31/h3a/11383299571742/16712370-0_product_300Wx450H,"$36,79",mujer,De Prati,pantalon,rojo
"PANTALON WIDE LEG LARGO, EXPRESSIONS, NEGRO, 97% POLIESTER 3% ELASTANO, Size S",https://images.deprati.com.ec/sys-master/images/h33/hb7/11323856781342/16712431-0_product_300Wx450H,"$31,99",mujer,De Prati,pantalon,negro
"ENTERIZO TIRAS C LAZO UNICOLOR, H&O TRYBU, NEGRO, 100% algodón",https://images.deprati.com.ec/sys-master/images/hdd/h31/11376265199646/16702864-0_product_300Wx450H,"$29,99",mujer,De Prati,enterizo,negro
"CAMISERO ML PRINT, H&O TRYBU, LILA COMBINADO, 100% Poliéster, Size S",https://images.deprati.com.ec/sys-master/images/h9c/h72/11322812530718/16702839-0_product_300Wx450H,"$18,00",mujer,De Prati,camisero,lila
